特征名称,回归系数,标准误,Z值,P值,优势比OR,OR_95%CI下限,OR_95%CI上限,影响度
Jitter_mean,-0.3947,0.1174,-3.3603,0.0008,0.6739,0.5353,0.8483,0.3947
Jitter_std,0.362,0.1473,2.457,0.014,1.4362,1.076,1.917,0.362
Shimmer_mean,0.3973,0.1313,3.0263,0.0025,1.4878,1.1503,1.9245,0.3973
Shimmer_std,1.2631,0.2837,4.4522,0.0,3.5363,2.028,6.1664,1.2631
RMS_mean,-0.6574,0.1293,-5.0824,0.0,0.5182,0.4022,0.6677,0.6574
RMS_max,-0.1546,0.114,-1.3558,0.1751,0.8568,0.6852,1.0713,0.1546
Centroid_mean,0.8556,0.1702,5.027,0.0,2.3527,1.6854,3.2842,0.8556
Centroid_std,1.418,0.213,6.6559,0.0,4.1289,2.7195,6.2688,1.418
H1H2_mean,0.0499,0.1165,0.428,0.6687,1.0511,0.8365,1.3208,0.0499
H1H2_std,0.1493,0.1138,1.3117,0.1896,1.161,0.9289,1.4512,0.1493
Mfcc1_mean,0.0417,0.1108,0.3766,0.7065,1.0426,0.8391,1.2955,0.0417
Mfcc1_std,0.3905,0.1168,3.3443,0.0008,1.4777,1.1754,1.8577,0.3905
Mfcc2_mean,-0.3608,0.1183,-3.0503,0.0023,0.6972,0.5529,0.879,0.3608
Mfcc2_std,0.3793,0.1218,3.1134,0.0018,1.4612,1.1509,1.8552,0.3793
Mfcc3_mean,0.2042,0.1165,1.7531,0.0796,1.2265,0.9762,1.541,0.2042
Mfcc3_std,0.1019,0.1149,0.8866,0.3753,1.1072,0.884,1.3868,0.1019
