特征名称,回归系数,标准误,Z值,P值,优势比OR,OR_95%CI下限,OR_95%CI上限,影响度
Jitter_mean,-1.7971,0.4039,-4.4498,0.0,0.1658,0.0751,0.3659,1.7971
Jitter_std,1.165,0.3059,3.8088,0.0001,3.2058,1.7603,5.8384,1.165
Shimmer_mean,0.8941,0.4187,2.1355,0.0327,2.445,1.0762,5.5547,0.8941
Shimmer_std,0.4316,0.6169,0.6998,0.4841,1.5398,0.4596,5.1586,0.4316
RMS_mean,-0.8182,0.2562,-3.1936,0.0014,0.4412,0.267,0.729,0.8182
Centroid_mean,1.4341,0.5755,2.4919,0.0127,4.196,1.3582,12.9632,1.4341
Mfcc1_std,0.3094,0.277,1.1171,0.264,1.3626,0.7918,2.345,0.3094
Mfcc2_mean,-0.4014,0.3035,-1.3227,0.1859,0.6694,0.3693,1.2134,0.4014
Mfcc2_std,0.3408,0.2842,1.1993,0.2304,1.4061,0.8056,2.4541,0.3408
Mfcc3_mean,1.7072,0.3756,4.5458,0.0,5.5135,2.6409,11.5107,1.7072
