,Jitter_mean,Jitter_std,Shimmer_mean,Shimmer_std,RMS_mean,Centroid_mean,Centroid_std,Mfcc1_std,Mfcc2_mean,Mfcc2_std,Mfcc3_mean
Jitter_mean,1.0,0.5251884407917167,0.39066935375063433,0.18088148843977678,0.01333943768528041,-0.16684829474001767,-0.15873189101640414,0.011235944391003663,0.09290082976730762,-0.18938732073102602,-0.017981456775467954
Jitter_std,0.5251884407917167,1.0,0.1913023545300033,0.23149841634300167,-0.2744195266436085,0.14104294186549302,0.07840773487952434,0.19656769981877167,-0.0489570544683068,0.07359592708006032,-0.05805930716711231
Shimmer_mean,0.39066935375063433,0.1913023545300033,1.0,0.7581004643661854,-0.2360136446229193,0.2554727411577976,0.4052782543005226,0.10991439208207579,-0.25016083529685773,0.0425218166153303,0.10216136000770655
Shimmer_std,0.18088148843977678,0.23149841634300167,0.7581004643661854,1.0,-0.29553764474562416,0.3407428666886338,0.4724811743249198,0.18823207210235818,-0.26627429784712076,0.22454199733558752,0.04590686484943324
RMS_mean,0.01333943768528041,-0.2744195266436085,-0.2360136446229193,-0.29553764474562416,1.0,-0.46339455488828923,-0.4091807617951016,-0.3328443043070487,-0.05085651088584243,-0.2885807653028296,0.15110738218530803
Centroid_mean,-0.16684829474001767,0.14104294186549302,0.2554727411577976,0.3407428666886338,-0.46339455488828923,1.0,0.6910892546495696,0.3653988085154992,-0.5489973634708097,0.37913989758918315,-0.39071356579723143
Centroid_std,-0.15873189101640414,0.07840773487952434,0.4052782543005226,0.4724811743249198,-0.4091807617951016,0.6910892546495696,1.0,0.49895180957348695,-0.3124459905472046,0.5766804059092266,0.10150067017532707
Mfcc1_std,0.011235944391003663,0.19656769981877167,0.10991439208207579,0.18823207210235818,-0.3328443043070487,0.3653988085154992,0.49895180957348695,1.0,0.10199467073458485,0.5661408781279497,-0.17612743218879487
Mfcc2_mean,0.09290082976730762,-0.0489570544683068,-0.25016083529685773,-0.26627429784712076,-0.05085651088584243,-0.5489973634708097,-0.3124459905472046,0.10199467073458485,1.0,0.01829950776772305,0.19521511219217988
Mfcc2_std,-0.18938732073102602,0.07359592708006032,0.0425218166153303,0.22454199733558752,-0.2885807653028296,0.37913989758918315,0.5766804059092266,0.5661408781279497,0.01829950776772305,1.0,-0.324765027396538
Mfcc3_mean,-0.017981456775467954,-0.05805930716711231,0.10216136000770655,0.04590686484943324,0.15110738218530803,-0.39071356579723143,0.10150067017532707,-0.17612743218879487,0.19521511219217988,-0.324765027396538,1.0
