特征组合,特征维度,样本数,准确率,宏平均F1,CV准确率均值,CV准确率标准差,CV宏F1均值,CV宏F1标准差
Jitter+Shimmer+RMS+Centroid+H1H2+Mfcc3,16,100,0.8667,0.8629,0.83,0.11,0.8272,0.1123
Jitter+Shimmer+RMS+Centroid+H1H2+SpectralSlope+Mfcc3,18,100,0.8667,0.8629,0.83,0.1345,0.8336,0.1348
Jitter+Shimmer+RMS+Centroid+SpectralSlope+Mfcc3,16,100,0.8333,0.8351,0.83,0.1345,0.8283,0.1378
Jitter+Shimmer+RMS+H1H2+Mfcc3,14,100,0.8,0.7985,0.83,0.09,0.8335,0.0983
Jitter+Shimmer+RMS+Centroid+SpectralSlope,10,100,0.7,0.7054,0.83,0.1187,0.8386,0.1192
Jitter+Shimmer+Centroid+H1H2+Mfcc3,14,100,0.8,0.8069,0.82,0.1166,0.8084,0.1242
Jitter+Shimmer+RMS+Centroid+H1H2,10,100,0.7667,0.7638,0.82,0.1327,0.8184,0.1325
Jitter+Shimmer+RMS+SpectralSlope+Mfcc3,14,100,0.7667,0.7691,0.82,0.1077,0.8183,0.12
Jitter+Shimmer+Centroid+H1H2,8,100,0.7333,0.7607,0.82,0.1249,0.8161,0.1337
Jitter+Shimmer+RMS+Centroid+Mfcc3,14,100,0.8667,0.8629,0.81,0.13,0.8028,0.1313
Jitter+Shimmer+Centroid+Mfcc3,12,100,0.8,0.8069,0.81,0.13,0.802,0.1323
Jitter+RMS+Centroid+H1H2+SpectralSlope,10,100,0.7667,0.7787,0.81,0.1221,0.8022,0.1142
Jitter+Shimmer+RMS+H1H2+SpectralSlope+Mfcc3,16,100,0.7333,0.733,0.81,0.0943,0.8167,0.106
Jitter+RMS+Mfcc3,10,100,0.7,0.7056,0.81,0.0943,0.8071,0.1017
Jitter+Shimmer+Centroid+H1H2+SpectralSlope,10,100,0.7,0.7071,0.81,0.1136,0.8015,0.1422
Jitter+RMS+Centroid+SpectralSlope+Mfcc3,14,100,0.7667,0.7735,0.8,0.0894,0.7897,0.0853
Jitter+Shimmer+RMS+Centroid+H1H2+SpectralSlope,12,100,0.7,0.7054,0.8,0.0894,0.7959,0.0832
Jitter+Shimmer+RMS+Mfcc3,12,100,0.8333,0.8351,0.79,0.1136,0.7958,0.1184
Jitter+Shimmer+Centroid,6,100,0.7667,0.7879,0.79,0.1221,0.7849,0.1536
Jitter+RMS+Centroid+SpectralSlope,8,100,0.7333,0.7345,0.79,0.1044,0.7902,0.1063
Jitter+Shimmer+Centroid+SpectralSlope+Mfcc3,14,100,0.7333,0.7395,0.79,0.1221,0.7861,0.1251
Jitter+Shimmer+RMS+Centroid,8,100,0.7,0.6986,0.79,0.0943,0.7899,0.1002
Jitter+RMS+Centroid+H1H2+Mfcc3,14,100,0.7667,0.7787,0.78,0.0748,0.7712,0.0723
Jitter+Centroid+SpectralSlope,6,100,0.7333,0.751,0.78,0.0872,0.7582,0.1061
Jitter+RMS+Centroid+Mfcc3,12,100,0.7333,0.7345,0.78,0.1077,0.7755,0.1014
Jitter+RMS+Centroid+H1H2+SpectralSlope+Mfcc3,16,100,0.7333,0.7345,0.78,0.098,0.7727,0.0932
Jitter+Shimmer+Centroid+SpectralSlope,8,100,0.7,0.7122,0.78,0.1166,0.7654,0.1284
Jitter+RMS+H1H2+Mfcc3,12,100,0.7,0.7056,0.78,0.098,0.7663,0.0904
Jitter+Centroid+H1H2+SpectralSlope+Mfcc3,14,100,0.7,0.7056,0.78,0.1249,0.7736,0.129
Jitter+RMS+Centroid,6,100,0.6667,0.6752,0.78,0.0748,0.7773,0.0678
Shimmer+Centroid+Mfcc3,10,100,0.8333,0.8171,0.77,0.11,0.7378,0.1404
Shimmer+Centroid+H1H2+Mfcc3,12,100,0.8333,0.8171,0.77,0.11,0.7378,0.1404
